Process1,Process2,similarity
998423,826694,0.8333333333333334
320978,872829,0.8333333333333334
461545,222016,0.8333333333333334
673186,318534,0.8333333333333334
137462,848991,0.8333333333333334
996828,318534,0.8333333333333334
318534,154355,0.8333333333333334
784445,848991,0.8333333333333334
848991,173728,0.8333333333333334
848991,217412,0.8333333333333334
598549,981182,0.8333333333333334
415336,981182,0.8333333333333334
814084,621085,0.8285714285714286
537887,595843,0.8260869565217391
537887,251017,0.8260869565217391
537887,675914,0.8260869565217391
537887,991877,0.8260869565217391
537887,872815,0.8260869565217391
537887,739124,0.8260869565217391
537887,435858,0.8260869565217391
675914,595843,0.8260869565217391
675914,251017,0.8260869565217391
675914,991877,0.8260869565217391
675914,872815,0.8260869565217391
675914,739124,0.8260869565217391
675914,435858,0.8260869565217391
251017,595843,0.8260869565217391
251017,991877,0.8260869565217391
251017,872815,0.8260869565217391
251017,739124,0.8260869565217391
251017,435858,0.8260869565217391
595843,991877,0.8260869565217391
595843,872815,0.8260869565217391
595843,739124,0.8260869565217391
595843,435858,0.8260869565217391
435858,991877,0.8260869565217391
435858,872815,0.8260869565217391
435858,739124,0.8260869565217391
739124,991877,0.8260869565217391
739124,872815,0.8260869565217391
872815,991877,0.8260869565217391
649854,675914,0.8260869565217391
649854,872815,0.8260869565217391
649854,739124,0.8260869565217391
649854,435858,0.8260869565217391
649854,595843,0.8260869565217391
649854,251017,0.8260869565217391
649854,537887,0.8260869565217391
787673,675914,0.8260869565217391
787673,872815,0.8260869565217391
787673,739124,0.8260869565217391
787673,435858,0.8260869565217391
787673,595843,0.8260869565217391
787673,251017,0.8260869565217391
787673,537887,0.8260869565217391
865079,915168,0.8214285714285714
915168,403394,0.8214285714285714
404452,712348,0.8181818181818182
348756,783256,0.8181818181818182
348756,329698,0.8181818181818182
754234,783256,0.8181818181818182
276771,628675,0.8181818181818182
628675,650373,0.8181818181818182
628675,386662,0.8181818181818182
956714,175275,0.8095238095238095
653246,813266,0.8095238095238095
574243,476682,0.8085106382978723
980523,875314,0.8
290500,875314,0.8
883351,477946,0.8
883351,535037,0.8
535037,477946,0.8
655482,354869,0.8
168115,354869,0.8
719295,835016,0.8
808328,150484,0.8
178215,951846,0.7931034482758621
865079,403394,0.7931034482758621
865079,884114,0.7931034482758621
421094,403394,0.7931034482758621
998423,595843,0.7916666666666666
998423,537887,0.7916666666666666
998423,787673,0.7916666666666666
998423,251017,0.7916666666666666
998423,675914,0.7916666666666666
998423,649854,0.7916666666666666
826694,537887,0.7916666666666666
826694,787673,0.7916666666666666
826694,739124,0.7916666666666666
826694,435858,0.7916666666666666
826694,595843,0.7916666666666666
826694,251017,0.7916666666666666
826694,675914,0.7916666666666666
826694,649854,0.7916666666666666
458046,675914,0.7916666666666666
458046,872815,0.7916666666666666
458046,739124,0.7916666666666666
458046,435858,0.7916666666666666
458046,595843,0.7916666666666666
458046,251017,0.7916666666666666
458046,537887,0.7916666666666666
254728,537887,0.7916666666666666
254728,739124,0.7916666666666666
781838,627122,0.7916666666666666
254728,435858,0.7916666666666666
254728,595843,0.7916666666666666
254728,251017,0.7916666666666666
254728,675914,0.7916666666666666
841974,675914,0.7916666666666666
841974,872815,0.7916666666666666
841974,739124,0.7916666666666666
841974,435858,0.7916666666666666
841974,595843,0.7916666666666666
841974,251017,0.7916666666666666
841974,537887,0.7916666666666666
537887,186337,0.7916666666666666
675914,186337,0.7916666666666666
251017,186337,0.7916666666666666
186337,739124,0.7916666666666666
186337,435858,0.7916666666666666
186337,595843,0.7916666666666666
308807,739124,0.7916666666666666
308807,435858,0.7916666666666666
308807,595843,0.7916666666666666
879661,231953,0.7894736842105263
631326,953700,0.7894736842105263
882601,585034,0.7857142857142857
882601,789873,0.7857142857142857
215471,863467,0.7857142857142857
794128,280463,0.7857142857142857
794128,834418,0.7857142857142857
794128,219046,0.7857142857142857
941304,783256,0.782608695652174
348756,554444,0.782608695652174
554444,329698,0.782608695652174
469143,766938,0.7777777777777778
798344,610521,0.7777777777777778
903807,441758,0.7777777777777778
903807,992494,0.7777777777777778
459873,623424,0.7777777777777778
236617,321697,0.7777777777777778
143376,947546,0.7777777777777778
143376,839215,0.7777777777777778
143376,999322,0.7777777777777778
143376,150804,0.7777777777777778
143376,301620,0.7777777777777778
909031,441758,0.7777777777777778
909031,992494,0.7777777777777778
649198,441758,0.7777777777777778
649198,992494,0.7777777777777778
301620,947546,0.7777777777777778
301620,839215,0.7777777777777778
